Symbol,Price,Type,Time
DOLF20,4069.0,ASK,09:01:12.709586
DOLF20,4069.0,BID,09:01:13.114490
DOLF20,4068.0,BID,09:01:13.114938
DOLF20,4068.0,BID,09:01:13.182590
DOLF20,4069.0,BID,09:01:13.797354
DOLF20,4068.0,BID,09:01:13.797599
DOLF20,4071.0,BID,09:01:14.578359
DOLF20,4068.0,BID,09:01:14.578527
DOLF20,4068.0,ASK,09:01:16.282343
DOLF20,4069.0,ASK,09:01:16.282514
DOLF20,4068.0,ASK,09:01:16.547371
DOLF20,4067.0,BID,09:01:16.547478
DOLF20,4069.0,BID,09:01:17.442358
DOLF20,4069.0,ASK,09:01:17.442461
DOLF20,4067.0,BID,09:01:17.442758
DOLF20,4068.0,ASK,09:01:17.653356
DOLF20,4069.0,BID,09:01:18.585179
DOLF20,4069.0,ASK,09:01:18.585342
DOLF20,4067.0,BID,09:01:18.585681
DOLF20,4069.0,BID,09:01:18.949858
DOLF20,4067.0,BID,09:01:19.243326
DOLF20,4068.0,BID,09:01:19.625362
DOLF20,4068.0,ASK,09:01:19.626890
DOLF20,4069.0,ASK,09:01:19.626991
DOLF20,4068.0,ASK,09:01:20.737345
DOLF20,4069.0,BID,09:01:21.69103
DOLF20,4067.0,BID,09:01:21.69398
DOLF20,4068.0,BID,09:01:21.73951
DOLF20,4068.0,BID,09:01:22.404562
DOLF20,4068.0,ASK,09:01:23.637364
DOLF20,4069.0,ASK,09:01:23.637532
DOLF20,4067.0,BID,09:01:23.637570
DOLF20,4069.0,BID,09:01:23.706358
DOLF20,4067.0,BID,09:01:23.706651
DOLF20,4068.0,BID,09:01:24.480374
DOLF20,4068.0,ASK,09:01:24.714727
DOLF20,4069.0,ASK,09:01:24.714895
DOLF20,4069.0,BID,09:01:25.581258
DOLF20,4067.0,BID,09:01:25.581487
DOLF20,4068.0,BID,09:01:25.585602
DOLF20,4068.0,ASK,09:01:26.341540
DOLF20,4069.0,ASK,09:01:26.341709
DOLF20,4067.0,BID,09:01:26.341746
DOLF20,4069.0,BID,09:01:26.345568
DOLF20,4067.0,BID,09:01:26.345945
DOLF20,4068.0,BID,09:01:26.940958
DOLF20,4068.0,BID,09:01:27.576377
DOLF20,4068.0,BID,09:01:27.628438
DOLF20,4069.0,BID,09:01:28.234525
DOLF20,4068.0,BID,09:01:28.234829
DOLF20,4069.0,BID,09:01:37.196821
DOLF20,4068.0,BID,09:01:37.197208
DOLF20,4069.0,BID,09:01:37.198892
DOLF20,4068.0,BID,09:01:37.199021
DOLF20,4069.0,BID,09:01:37.899465
DOLF20,4068.0,BID,09:01:37.899593
DOLF20,4069.0,BID,09:01:37.900157
DOLF20,4068.0,BID,09:01:37.900282
DOLF20,4069.0,BID,09:01:38.60470
DOLF20,4068.0,BID,09:01:38.60600
DOLF20,4069.0,BID,09:01:38.61465
DOLF20,4068.0,BID,09:01:38.61606
DOLF20,4069.0,BID,09:01:38.540462
DOLF20,4068.0,BID,09:01:38.540677
DOLF20,4069.0,BID,09:01:38.743462
DOLF20,4068.0,BID,09:01:38.743587
DOLF20,4069.0,BID,09:01:38.968285
DOLF20,4068.0,BID,09:01:38.968495
DOLF20,4069.0,BID,09:01:39.679035
DOLF20,4068.0,BID,09:01:39.878250
DOLF20,4069.0,BID,09:01:40.428464
DOLF20,4068.0,BID,09:01:40.428595
DOLF20,4069.0,BID,09:01:41.817482
DOLF20,4068.0,BID,09:01:41.817700
DOLF20,4068.0,ASK,09:01:44.764287
DOLF20,4069.0,ASK,09:01:44.918218
DOLF20,4068.0,ASK,09:01:44.934470
DOLF20,4069.0,ASK,09:01:44.934680
DOLF20,4068.0,ASK,09:01:47.220482
DOLF20,4068.0,BID,09:01:50.113783
DOLF20,4067.0,BID,09:01:50.114006
DOLF20,4068.0,BID,09:01:50.114921
DOLF20,4067.0,BID,09:01:50.115048
DOLF20,4068.0,BID,09:01:52.535478
DOLF20,4067.0,BID,09:01:52.535959
DOLF20,4070.0,BID,09:01:55.663053
DOLF20,4067.0,BID,09:01:55.663532
DOLF20,4068.0,BID,09:01:56.275140
DOLF20,4067.0,BID,09:01:56.275355
DOLF20,4068.0,BID,09:01:56.863908
DOLF20,4067.0,BID,09:01:56.864037
DOLF20,4068.0,BID,09:01:57.65141
