Symbol,Price,Type,Time
DOLF20,4082.0,ASK,08:55:15.83199
DOLF20,4273.0,ASK,08:55:27.573155
DOLF20,4270.0,ASK,08:55:45.713126
DOLF20,4134.0,ASK,08:55:45.713457
DOLF20,4134.0,ASK,08:56:22.873134
DOLF20,4054.0,BID,08:56:34.143289
DOLF20,4070.0,ASK,08:56:42.8172
DOLF20,4055.0,BID,08:56:43.711194
DOLF20,4068.0,ASK,08:57:07.917213
DOLF20,4061.0,BID,08:57:26.358204
DOLF20,4062.0,BID,08:57:30.51187
DOLF20,4066.0,ASK,08:58:29.433338
DOLF20,4065.0,ASK,08:58:30.207210
DOLF20,4062.0,BID,08:58:32.194231
DOLF20,4063.0,BID,08:58:32.491213
DOLF20,4063.0,BID,08:59:15.706293
DOLF20,4068.0,ASK,08:59:19.808503
DOLF20,4067.0,BID,08:59:29.430215
DOLF20,4067.0,BID,08:59:30.483255
DOLF20,4067.0,BID,08:59:44.104261
DOLF20,4067.0,BID,08:59:49.783328
DOLF20,4068.0,ASK,08:59:52.795422
DOLF20,4064.0,BID,08:59:54.669259
DOLF20,4070.0,ASK,08:59:56.16256
DOLF20,4070.0,ASK,09:00:00.405005
DOLF20,4073.0,ASK,09:00:01.69274
DOLF20,4069.0,BID,09:00:10.664499
DOLF20,4073.0,ASK,09:00:11.887191
DOLF20,4073.0,ASK,09:00:17.558259
DOLF20,4072.0,ASK,09:00:19.134637
DOLF20,4072.0,ASK,09:00:28.368255
DOLF20,4072.0,ASK,09:00:33.912262
DOLF20,4072.0,ASK,09:00:37.150250
DOLF20,4066.0,BID,09:00:37.150369
DOLF20,4066.0,BID,09:00:38.477275
DOLF20,4069.0,BID,09:00:40.518294
DOLF20,4072.0,ASK,09:00:43.873246
DOLF20,4072.0,ASK,09:00:49.111479
DOLF20,4070.0,ASK,09:00:54.990212
DOLF20,4070.0,ASK,09:00:58.70201
DOLF20,4068.0,BID,09:00:58.70255
DOLF20,4069.0,ASK,09:00:58.79153
DOLF20,4068.0,BID,09:00:58.278482
DOLF20,4068.0,BID,09:00:58.686032
DOLF20,4068.0,BID,09:00:58.689280
DOLF20,4068.0,BID,09:00:58.690249
DOLF20,4068.0,BID,09:00:58.690204
DOLF20,4068.0,BID,09:00:58.691257
DOLF20,4070.0,ASK,09:00:58.692231
DOLF20,4068.0,BID,09:00:58.692275
DOLF20,4069.0,BID,09:00:58.692204
DOLF20,4069.0,BID,09:00:58.693228
DOLF20,4069.0,BID,09:00:58.696304
DOLF20,4069.0,BID,09:00:58.696239
DOLF20,4070.0,BID,09:00:58.696179
DOLF20,4070.0,BID,09:00:58.977461
DOLF20,4070.0,BID,09:00:59.187534
DOLF20,4070.0,BID,09:00:59.403315
DOLF20,4070.0,BID,09:00:59.546369
DOLF20,4070.0,BID,09:01:00.206449
DOLF20,4071.0,BID,09:01:00.725206
DOLF20,4071.0,BID,09:01:01.98276
DOLF20,4072.0,ASK,09:01:01.306561
DOLF20,4072.0,ASK,09:01:01.307157
DOLF20,4070.0,BID,09:01:01.307210
DOLF20,4072.0,ASK,09:01:04.189564
DOLF20,4071.0,ASK,09:01:04.191417
DOLF20,4071.0,ASK,09:01:05.986446
DOLF20,4071.0,ASK,09:01:11.516447
DOLF20,4071.0,ASK,09:01:11.618580
DOLF20,4069.0,BID,09:01:11.618655
DOLF20,4070.0,ASK,09:01:11.620527
DOLF20,4070.0,ASK,09:01:12.693471
DOLF20,4070.0,ASK,09:01:13.290158
DOLF20,4069.0,ASK,09:01:13.588546
DOLF20,4069.0,ASK,09:01:13.589694
DOLF20,4068.0,BID,09:01:14.36149
DOLF20,4068.0,BID,09:01:14.38627
DOLF20,4068.0,BID,09:01:14.579928
DOLF20,4068.0,BID,09:01:16.482358
DOLF20,4069.0,ASK,09:01:17.442482
DOLF20,4067.0,BID,09:01:17.656807
DOLF20,4067.0,BID,09:01:18.824676
DOLF20,4068.0,ASK,09:01:18.948400
DOLF20,4067.0,BID,09:01:19.624802
DOLF20,4067.0,BID,09:01:20.196514
DOLF20,4068.0,BID,09:01:21.70548
DOLF20,4069.0,ASK,09:01:21.72126
DOLF20,4068.0,ASK,09:01:21.953008
DOLF20,4067.0,BID,09:01:22.515265
DOLF20,4068.0,BID,09:01:22.716066
DOLF20,4068.0,BID,09:01:23.696358
DOLF20,4069.0,ASK,09:01:24.478494
DOLF20,4067.0,BID,09:01:24.478544
DOLF20,4067.0,BID,09:01:24.713647
DOLF20,4068.0,BID,09:01:25.581842
DOLF20,4069.0,ASK,09:01:25.586039
DOLF20,4067.0,BID,09:01:26.246553
DOLF20,4068.0,BID,09:01:26.343260
DOLF20,4069.0,ASK,09:01:26.943515
DOLF20,4067.0,BID,09:01:26.943562
DOLF20,4067.0,BID,09:01:27.580684
DOLF20,4068.0,BID,09:01:27.605365
DOLF20,4068.0,BID,09:01:27.631038
DOLF20,4068.0,BID,09:01:28.644366
DOLF20,4068.0,BID,09:01:28.650624
DOLF20,4068.0,BID,09:01:38.177368
DOLF20,4068.0,BID,09:01:38.410545
DOLF20,4068.0,BID,09:01:38.540551
DOLF20,4068.0,BID,09:01:38.670552
DOLF20,4068.0,BID,09:01:38.743549
DOLF20,4068.0,BID,09:01:38.743560
DOLF20,4068.0,BID,09:01:38.969632
DOLF20,4068.0,BID,09:01:39.402747
DOLF20,4068.0,BID,09:01:39.879375
DOLF20,4068.0,BID,09:01:40.411715
DOLF20,4068.0,BID,09:01:40.552560
DOLF20,4068.0,BID,09:01:42.354383
DOLF20,4069.0,ASK,09:01:45.61734
DOLF20,4069.0,ASK,09:01:45.357688
DOLF20,4068.0,ASK,09:01:47.698689
DOLF20,4067.0,BID,09:01:50.944629
DOLF20,4067.0,BID,09:01:51.280385
DOLF20,4067.0,BID,09:01:53.250934
DOLF20,4067.0,BID,09:01:56.276739
DOLF20,4067.0,BID,09:01:57.64231
DOLF20,4067.0,BID,09:01:57.868045
DOLF20,4067.0,BID,09:01:57.969443
DOLF20,4067.0,BID,09:01:58.22260
DOLF20,4067.0,BID,09:01:58.24261
DOLF20,4067.0,BID,09:01:58.24940
DOLF20,4067.0,BID,09:01:58.597306
DOLF20,4067.0,BID,09:01:59.180501
DOLF20,4067.0,BID,09:01:59.462482
DOLF20,4067.0,BID,09:01:59.487866
DOLF20,4068.0,ASK,09:02:01.870742
DOLF20,4067.0,BID,09:02:02.81026
DOLF20,4068.0,ASK,09:02:03.134201
DOLF20,4067.0,BID,09:02:03.385661
DOLF20,4067.0,BID,09:02:03.419772
DOLF20,4067.0,BID,09:02:05.11640
